epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7479,1.46576,2.86495,1.62886,0.74798,0.13262,0.06504,0.03398,1.85967,6.88196,2.54082,0.0672773,0.000330532,0.000330532
2,52.7157,1.29265,2.19595,1.53152,0.35179,0.31141,0.22547,0.13444,1.56945,3.91072,2.04137,0.0342707,0.000657293,0.000657293
3,76.1779,1.26665,2.06917,1.519,0.31168,0.23411,0.16205,0.09241,1.65284,4.22143,2.28813,0.00125757,0.000977454,0.000977454
4,99.3242,1.25518,2.01346,1.5081,0.72505,0.28045,0.31284,0.1815,1.46999,2.79972,1.98391,0.0009703,0.0009703,0.0009703
5,122.828,1.24148,1.93925,1.48935,0.49268,0.34094,0.33959,0.20923,1.31178,2.59818,1.84486,0.0009604,0.0009604,0.0009604
6,146.247,1.21953,1.89025,1.47315,0.64813,0.34776,0.34831,0.21938,1.3875,2.60199,1.93658,0.0009505,0.0009505,0.0009505
7,169.848,1.2117,1.86611,1.46378,0.61597,0.40231,0.38256,0.23774,1.25942,2.65761,1.72467,0.0009406,0.0009406,0.0009406
8,193.364,1.20585,1.8411,1.45611,0.654,0.44001,0.42353,0.28259,1.1761,2.28004,1.67689,0.0009307,0.0009307,0.0009307
9,216.951,1.1896,1.80117,1.44191,0.44872,0.42744,0.37015,0.24344,1.20375,2.48632,1.68046,0.0009208,0.0009208,0.0009208
10,240.45,1.16866,1.78236,1.42439,0.58022,0.42579,0.46226,0.28893,1.24575,2.20089,1.71594,0.0009109,0.0009109,0.0009109
11,263.89,1.15511,1.76084,1.41944,0.46779,0.45921,0.38845,0.24961,1.27251,2.00369,1.7318,0.000901,0.000901,0.000901
12,287.313,1.16751,1.74383,1.4207,0.67632,0.437,0.4369,0.27046,1.13796,1.88343,1.59331,0.0008911,0.0008911,0.0008911
13,310.744,1.15132,1.72063,1.40933,0.36198,0.46337,0.43425,0.28455,1.09158,2.11182,1.54202,0.0008812,0.0008812,0.0008812
14,334.228,1.15017,1.69967,1.40633,0.37249,0.44735,0.43061,0.28915,1.12897,1.86755,1.56835,0.0008713,0.0008713,0.0008713
15,357.788,1.14286,1.68851,1.40472,0.57684,0.42684,0.46438,0.30262,1.10319,2.13641,1.55633,0.0008614,0.0008614,0.0008614
16,381.359,1.13681,1.68108,1.3939,0.69813,0.44113,0.45372,0.28926,1.06977,1.95626,1.50019,0.0008515,0.0008515,0.0008515
17,404.825,1.14092,1.68844,1.39874,0.4736,0.49526,0.41483,0.28541,1.06663,1.79925,1.50845,0.0008416,0.0008416,0.0008416
18,428.252,1.12539,1.65443,1.38473,0.53977,0.4961,0.47932,0.3394,1.09324,1.71498,1.52667,0.0008317,0.0008317,0.0008317
19,451.618,1.11683,1.64139,1.38462,0.50198,0.53245,0.45528,0.30289,1.07312,1.83849,1.49733,0.0008218,0.0008218,0.0008218
20,475.084,1.10999,1.62208,1.3705,0.44121,0.49932,0.49069,0.32349,1.01769,1.68435,1.45366,0.0008119,0.0008119,0.0008119
21,498.54,1.10333,1.60135,1.3669,0.62826,0.54109,0.48521,0.31113,1.13629,1.91046,1.55274,0.000802,0.000802,0.000802
22,521.985,1.09843,1.60705,1.36595,0.63885,0.45051,0.5004,0.32079,1.07584,1.77817,1.47634,0.0007921,0.0007921,0.0007921
23,545.36,1.09888,1.59325,1.36397,0.62834,0.5226,0.54621,0.37378,1.06575,1.52467,1.46797,0.0007822,0.0007822,0.0007822
24,568.844,1.09692,1.57434,1.35859,0.5162,0.50607,0.52878,0.34989,1.03861,1.6571,1.44233,0.0007723,0.0007723,0.0007723
25,592.741,1.09822,1.58287,1.35979,0.5139,0.50907,0.52588,0.35096,1.03032,1.61861,1.44168,0.0007624,0.0007624,0.0007624
26,616.678,1.09358,1.5712,1.3565,0.49042,0.53105,0.48187,0.31074,1.0694,1.66616,1.50046,0.0007525,0.0007525,0.0007525
27,640.139,1.07971,1.56828,1.34712,0.44502,0.58171,0.54888,0.37003,1.01963,1.50176,1.42392,0.0007426,0.0007426,0.0007426
28,663.543,1.08213,1.55286,1.34111,0.56978,0.6281,0.61242,0.40807,1.01903,1.37146,1.41791,0.0007327,0.0007327,0.0007327
29,687.014,1.07788,1.53532,1.33963,0.65399,0.57261,0.62055,0.41194,1.03834,1.40625,1.43947,0.0007228,0.0007228,0.0007228
30,710.535,1.07832,1.5377,1.33909,0.60341,0.57394,0.55822,0.38062,1.01576,1.46247,1.40219,0.0007129,0.0007129,0.0007129
31,734.127,1.07825,1.53227,1.34076,0.61303,0.55448,0.56572,0.38262,0.99018,1.42793,1.40138,0.000703,0.000703,0.000703
32,757.642,1.07398,1.52692,1.33418,0.62391,0.545,0.59228,0.39868,0.97821,1.54375,1.39116,0.0006931,0.0006931,0.0006931
33,781.049,1.06534,1.52256,1.33416,0.44457,0.63483,0.58936,0.40614,0.92553,1.46246,1.33131,0.0006832,0.0006832,0.0006832
34,804.663,1.0635,1.50353,1.32983,0.59535,0.57269,0.58206,0.41377,0.97424,1.55207,1.37967,0.0006733,0.0006733,0.0006733
35,828.305,1.04896,1.49574,1.31591,0.64216,0.60754,0.63453,0.43849,0.97277,1.33382,1.39389,0.0006634,0.0006634,0.0006634
36,851.855,1.06589,1.50368,1.32728,0.54775,0.62293,0.60082,0.40877,0.96693,1.33381,1.37235,0.0006535,0.0006535,0.0006535
37,875.425,1.05762,1.48207,1.3217,0.51204,0.65426,0.6239,0.40418,0.98308,1.32554,1.40112,0.0006436,0.0006436,0.0006436
38,898.945,1.04546,1.46944,1.31316,0.57047,0.59797,0.598,0.41538,0.93642,1.3388,1.36764,0.0006337,0.0006337,0.0006337
39,922.518,1.0438,1.4709,1.31822,0.67767,0.57187,0.62488,0.43347,0.91851,1.24149,1.32984,0.0006238,0.0006238,0.0006238
