epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,455.072,1.77314,3.4481,1.79662,0.54858,0.17144,0.12722,0.07695,1.15079,3.66298,1.54216,0.000301727,0.000301727,0.000301727
2,914.459,1.65594,2.67125,1.72814,0.37244,0.34425,0.23446,0.13573,1.25866,3.31135,1.66208,0.000574793,0.000574793,0.000574793
3,1369.52,1.62123,2.4317,1.69526,0.31806,0.51318,0.37636,0.23974,1.21488,2.56632,1.59004,0.000817862,0.000817862,0.000817862
4,1825.42,1.5836,2.28709,1.67047,0.46955,0.545,0.46042,0.29625,1.09235,2.81171,1.52274,0.000774013,0.000774013,0.000774013
5,2279.85,1.53835,2.1756,1.63856,0.75462,0.41031,0.45044,0.30824,1.15557,2.05396,1.59111,0.000729018,0.000729018,0.000729018
6,2735.81,1.50646,2.11204,1.61419,0.6735,0.45139,0.52748,0.33135,1.13865,2.14647,1.53656,0.000684022,0.000684022,0.000684022
7,3190.54,1.48366,2.04663,1.59772,0.37816,0.5736,0.46392,0.30855,1.11398,1.81683,1.51242,0.000639027,0.000639027,0.000639027
8,3646.64,1.47171,2.00415,1.58411,0.4601,0.59179,0.48283,0.32603,1.08192,2.12043,1.47991,0.000594031,0.000594031,0.000594031
9,4101.43,1.44121,1.9647,1.56331,0.58702,0.59435,0.51142,0.33287,1.08955,1.76133,1.46783,0.000549036,0.000549036,0.000549036
10,4556.15,1.41997,1.91698,1.53831,0.58699,0.57288,0.51412,0.34673,1.07891,1.83178,1.4754,0.00050404,0.00050404,0.00050404
11,4984.77,1.07173,1.82714,1.55199,0.65193,0.52912,0.57042,0.39424,1.07227,1.61318,1.4781,0.000459045,0.000459045,0.000459045
12,5414.73,1.05137,1.64202,1.53492,0.66409,0.64597,0.6398,0.4276,1.06218,1.44658,1.42413,0.000414049,0.000414049,0.000414049
13,5844.4,1.03253,1.58416,1.51497,0.66979,0.6416,0.64196,0.44907,0.98573,1.47741,1.38775,0.000369054,0.000369054,0.000369054
14,6272.57,1.00293,1.5042,1.49899,0.63605,0.55241,0.6356,0.44829,0.9553,1.37441,1.35104,0.000324058,0.000324058,0.000324058
15,6701.22,0.98971,1.47282,1.48105,0.5928,0.67538,0.70125,0.47811,1.0037,1.24494,1.38053,0.000279063,0.000279063,0.000279063
16,7128.36,0.96181,1.42502,1.46529,0.70936,0.67974,0.73709,0.52826,0.92765,1.19087,1.3209,0.000234068,0.000234068,0.000234068
17,7553.28,0.96611,1.37506,1.45721,0.60585,0.76427,0.74873,0.52697,0.9074,1.11096,1.29788,0.000189072,0.000189072,0.000189072
18,7981.39,0.92954,1.34761,1.43101,0.61158,0.72155,0.73181,0.52305,0.90349,1.19505,1.29168,0.000144077,0.000144077,0.000144077
19,8426.54,0.90995,1.29766,1.41104,0.70179,0.73985,0.76947,0.54022,0.88856,1.14743,1.27769,9.9081e-05,9.9081e-05,9.9081e-05
20,8873.48,0.88166,1.27721,1.39077,0.70769,0.72232,0.78146,0.56498,0.87301,1.06681,1.26598,5.40855e-05,5.40855e-05,5.40855e-05
